,도로명전체주소,사업장명
1456552,"경기도 광명시 하안로287번길 17, 영보빌딩 (하안동)",교촌치킨
1456553,"경기도 광명시 오리로619번길 32, 1층 (하안동)",까치
1456554,경기도 광명시 철산로 19 (철산동),호남송사리매운탕철산민물새우버섯야채샤브칼국수
1456555,"경기도 광명시 광명로888번길 8-1, 지층 (광명동)",제이앤오케이푸드
1456698,"경기도 광명시 안재로14번길 20 (하안동, 1층)",한우육회마을
1456740,경기도 광명시 오리로 919-38 (철산동),철산치킨
1456868,"경기도 광명시 안재로6번길 22, 1층 (하안동)",하안수산
1456869,"경기도 광명시 가학로15번길 4, 1층 (가학동)",호박집
1456881,경기도 광명시 기아로 18 (소하동),송주불냉면
1456882,경기도 광명시 오리로856번길 17 (철산동),케이엠지엠광명철산점
1456883,경기도 광명시 광명로 365 (노온사동),굴뚝
1456884,경기도 광명시 기아로 18 (소하동),포터스하우스
1456885,경기도 광명시 하안로287번길 15 (하안동),삼원소금구이
1456989,경기도 광명시 밤일로 14 (하안동),봉가원
1457039,"경기도 광명시 하안로287번길 21, 진명빌딩 3층 (일부)호 (하안동)",통파이브광명하안점
1457040,"경기도 광명시 하안로 293-12, 2층 202호 (하안동, 대인빌딩)",치맥세계치킨
1457041,경기도 광명시 하안로287번길 19 (하안동),동나무집
1457156,"경기도 광명시 디지털로33번길 23, 1층 108,109일부호 (철산동)",백채김치찌개철산점
1457246,경기도 광명시 범안로 964-5 (하안동),구름산추어탕
1457260,경기도 광명시 도덕로 19 (광명동),콩짜장
1457348,경기도 광명시 디지털로 25 (철산동),꼬꼬방치킨
1457507,"경기도 광명시 오리로854번길 8 (철산동,3층 305호)",힘센장어
1457564,경기도 광명시 광명로 852-1 (광명동),광어9900포장전문
1457565,경기도 광명시 금오로 847 (옥길동),안동잔치국수
1457566,"경기도 광명시 밤일로 35, 1층 (하안동)",진두강한방민물장어
1457695,경기도 광명시 안재로14번길 21 (하안동),달아달아밝은달아
1457737,"경기도 광명시 하안로287번길 13 (하안동,계명빌딩 103호)",숯불위의 저팔계
